band_index,rt60_mean,rt60_std,valid_runs
0,0.471743,0.00107102,10
1,0.471307,0.0010738,10
2,0.389607,0.00103305,10
3,0.357398,0.000858387,10
4,0.29527,0.000663341,10
5,0.233499,0.000964104,10
6,0.197787,0.000808641,10
7,0.182636,0.00066035,10
