band_index,rt60_mean,rt60_std,valid_runs
0,0.527947,0.0053345,10
1,0.527367,0.00529385,10
2,0.430418,0.00429102,10
3,0.392273,0.0036409,10
4,0.323884,0.00482025,10
5,0.262121,0.00620232,10
6,0.228172,0.00789621,10
7,0.202797,0.00557245,10
