band_index,rt60_mean,rt60_std,valid_runs
0,0.524968,0.00772871,10
1,0.524428,0.00771927,10
2,0.42686,0.0088564,10
3,0.387847,0.00790773,10
4,0.319223,0.00930947,10
5,0.262141,0.0216662,10
6,0.226362,0.0242755,10
7,0.200137,0.0130734,10
