label,num_particles,dt_ms,rt60_mean,rt60_std,c50_mean,c50_std,runtime_ms_mean,runtime_ms_std,valid_rt60_runs
optimised,200000,20,0.490401,0.00659401,4.32615,0.141684,10555.7,155.345,10
reference,1000000,1,0.493162,0.00418446,4.31986,0.0952974,233352,978.48,10
