time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,30.9944,30.9802,30.9432,30.8839,30.7983,30.564,29.7001,26.6816,241.546
18,23.6906,23.3704,23.0293,22.9812,22.9116,22.4127,20.815,17.9764,177.187
19,14.8316,14.6563,14.4673,14.4355,14.3897,14.0962,13.1459,11.333,111.356
20,1.97632,1.95171,1.92525,1.92096,1.91478,1.87426,1.74352,1.49848,14.8053
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,14.7826,14.5572,14.3156,14.2767,14.2205,13.8528,12.6789,10.5393,109.224
25,0.984057,0.96758,0.950015,0.947358,0.943523,0.917401,0.834595,0.688454,7.23298
26,0,0,0,0,0,0,0,0,0
27,0.983417,0.966267,0.947941,0.945026,0.940821,0.913152,0.82558,0.669799,7.192
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,2.94371,2.88568,2.82395,2.81446,2.80078,2.70895,2.42101,1.92408,21.3226
31,0,0,0,0,0,0,0,0,0
32,2.94528,2.88869,2.82815,2.81803,2.80343,2.71076,2.41921,1.90242,21.316
33,0.980369,0.960125,0.938557,0.935107,0.930132,0.89768,0.796218,0.620778,7.05897
34,0,0,0,0,0,0,0,0,0
35,0.977966,0.95533,0.931347,0.927689,0.922418,0.887034,0.777508,0.594649,6.97394
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,5.8549,5.70624,5.5492,5.52537,5.49106,5.26065,4.55377,3.39813,41.3393
39,1.95253,1.90381,1.8522,1.8441,1.83243,1.75582,1.52025,1.1307,13.7918
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0.976508,0.952345,0.926627,0.922306,0.916086,0.877028,0.756802,0.554566,6.88227
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,4.86238,4.7217,4.57331,4.5501,4.51671,4.29813,3.63624,2.58181,33.7404
46,0,0,0,0,0,0,0,0,0
47,2.91789,2.83383,2.7449,2.73034,2.70939,2.57642,2.17359,1.52527,20.2116
48,0.972182,0.943726,0.913648,0.908766,0.901743,0.856931,0.721423,0.504636,6.72306
49,1.94349,1.88569,1.82459,1.81458,1.80019,1.70896,1.43361,0.994282,13.4054
