time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
595,0.000499189,0.000125337,8.22487e-06,1.0335e-06,1.08681e-07,7.41196e-07,3.47893e-08,7.70721e-11,0.000634669
596,0.000613134,0.000192659,1.07599e-05,1.00488e-06,1.42935e-07,1.11957e-06,7.98217e-08,2.50793e-10,0.0008189
597,0.000844738,0.00023277,7.06423e-06,5.49518e-07,6.06508e-08,2.32903e-07,2.18341e-08,3.94707e-11,0.00108544
598,0.00205467,0.000794036,1.30806e-05,1.76522e-06,4.06659e-07,1.39839e-06,1.40681e-07,3.04841e-10,0.0028655
599,0.00109843,0.000261311,3.3821e-06,3.98024e-07,6.1324e-08,3.74097e-07,2.51731e-08,7.04266e-11,0.00136398
600,0.00126427,0.000498616,6.55662e-05,1.51198e-05,2.88392e-06,5.6132e-06,4.1825e-07,2.14714e-09,0.00185249
601,0.00142334,0.000604441,6.84313e-05,1.75538e-05,2.3061e-06,7.55536e-06,3.95415e-07,3.63988e-09,0.00212403
602,0.000809675,0.000196643,2.00891e-06,1.6482e-07,1.75072e-08,4.58276e-08,2.66623e-09,2.27854e-12,0.00100856
603,0.000539581,0.000108941,1.93372e-05,3.11585e-06,6.20578e-07,3.18073e-06,2.69835e-07,8.38918e-10,0.000675047
604,0.000590379,0.000167725,7.92515e-06,6.40533e-07,1.01606e-07,4.46149e-07,2.89462e-08,2.89855e-11,0.000767247
605,0.00100686,0.000217232,5.56595e-07,7.99208e-08,1.43361e-08,1.31846e-07,1.14051e-08,1.97276e-10,0.00122488
606,0.000532603,0.00011248,6.55477e-07,4.31597e-08,5.26889e-09,3.68867e-08,1.84861e-09,1.77524e-12,0.000645826
607,0.000559857,0.000154597,5.00813e-06,4.73876e-07,8.93522e-08,4.09326e-07,3.28365e-08,2.56845e-11,0.000720468
608,0.00287369,0.00134914,0.00012186,1.42707e-05,2.89724e-06,1.39616e-05,1.28609e-06,2.01359e-09,0.00437711
609,0.000710928,0.000268094,9.52832e-06,7.78644e-07,1.12326e-07,3.76886e-07,2.08986e-08,2.53946e-11,0.000989839
610,0.00150701,0.000525191,1.08262e-05,1.03705e-06,1.30031e-07,9.61013e-07,5.12197e-08,1.96121e-10,0.00204521
611,0.00172334,0.000468954,6.47035e-06,6.17466e-07,9.61882e-08,8.491e-07,6.19891e-08,1.1332e-10,0.00220039
612,0.000664422,0.000174128,4.77901e-06,5.55839e-07,1.11701e-07,4.7371e-07,4.08083e-08,6.22314e-11,0.000844511
613,0.000660916,0.000179018,7.79599e-06,7.1944e-07,1.30871e-07,9.5356e-07,7.7188e-08,7.009e-11,0.000849611
614,0.000280086,6.44637e-05,4.97179e-07,4.72353e-08,9.82129e-09,5.3536e-08,4.94487e-09,3.42076e-12,0.000345162
615,0.000665425,0.000218838,1.55299e-05,2.25757e-06,6.02693e-07,2.3212e-06,2.61495e-07,2.9189e-10,0.000905236
616,0.000643136,0.000133856,1.01402e-06,4.4606e-08,5.11708e-09,3.35715e-08,1.58554e-09,9.31717e-13,0.000778091
617,0.000535949,0.000113646,3.30833e-06,2.20663e-07,4.04842e-08,1.37197e-07,1.01478e-08,4.8976e-12,0.000653312
618,0.000405748,9.96357e-05,2.68963e-06,1.76461e-07,1.63841e-08,8.44278e-08,3.53623e-09,4.71095e-12,0.000508354
619,0.00234087,0.00127264,0.00020501,3.93282e-05,7.29996e-06,2.40228e-05,1.88494e-06,9.49493e-09,0.00389107
620,0.000485019,9.68448e-05,9.05046e-07,6.14218e-08,7.71764e-09,4.53658e-08,2.36496e-09,2.65658e-12,0.000582886
621,0.000623058,0.00022322,1.2696e-05,1.00046e-06,1.50005e-07,1.02329e-06,6.42714e-08,4.34489e-11,0.000861212
622,0.000612842,0.000127625,3.62675e-06,4.96887e-07,6.67564e-08,2.64248e-07,1.54886e-08,2.59452e-11,0.000744937
623,0.000278609,4.46881e-05,2.81622e-06,1.97643e-07,2.26295e-08,1.91166e-07,9.44323e-09,1.05854e-11,0.000326534
624,0.0006786,0.000176719,4.57042e-06,4.00008e-07,5.02287e-08,2.00702e-07,9.77801e-09,1.12383e-11,0.00086055
625,0.000307147,7.95751e-05,1.78039e-06,2.44236e-07,4.26076e-08,1.92377e-07,1.34054e-08,1.24318e-11,0.000388995
626,0.0010796,0.000314791,1.59513e-06,1.37342e-07,1.82725e-08,9.41993e-08,5.73238e-09,1.48202e-11,0.00139624
627,0.000372377,0.000107759,4.53418e-06,2.48401e-07,3.17867e-08,2.52245e-07,1.41581e-08,6.32909e-12,0.000485217
628,0.000749158,0.00018976,2.87722e-06,1.97026e-07,2.9151e-08,1.31032e-07,7.89228e-09,7.19664e-12,0.000942161
629,0.000743366,0.000194984,3.87078e-06,2.90531e-07,4.19252e-08,3.00882e-07,1.70436e-08,1.25296e-11,0.000942872
630,0.000477308,9.57796e-05,3.03529e-07,1.26228e-08,1.31107e-09,1.10316e-08,4.82096e-10,4.32326e-13,0.000573416
631,0.00123571,0.000467515,5.20946e-05,9.16353e-06,8.94516e-07,4.18018e-06,1.68493e-07,1.10259e-09,0.00176973
632,0.000348753,0.000102752,3.7221e-06,2.00936e-07,2.59582e-08,1.89805e-07,1.11521e-08,5.90919e-12,0.000455655
633,0.000603498,0.000164278,4.44527e-06,2.47598e-07,3.86706e-08,1.12023e-07,6.20465e-09,3.61193e-12,0.000772627
634,0.000236349,5.16452e-05,2.64176e-07,1.08209e-08,1.95191e-09,7.6465e-09,5.78722e-10,6.61599e-12,0.000288279
635,0.000380692,8.45092e-05,1.14152e-07,1.42124e-08,2.08911e-09,1.13667e-08,6.59319e-10,7.87554e-13,0.000465344
636,0.000400845,0.000112881,2.53734e-06,1.34879e-07,1.59085e-08,6.3154e-08,3.01113e-09,1.99594e-12,0.00051648
637,0.000449458,0.000121077,7.77663e-06,6.272e-07,8.69321e-08,5.31888e-07,2.98417e-08,3.45851e-11,0.000579588
638,0.00138899,0.000662136,6.07919e-05,8.76264e-06,1.31046e-06,4.94835e-06,2.87686e-07,9.77416e-10,0.00212723
639,0.000621117,0.00015969,2.63381e-06,1.74604e-07,1.9937e-08,7.92695e-08,3.82906e-09,4.24993e-12,0.000783718
640,0.000619151,0.000138138,1.45028e-07,7.78174e-09,1.06771e-09,1.06273e-08,6.19493e-10,3.05521e-13,0.000757454
641,0.000418496,9.11764e-05,7.57467e-07,4.8272e-08,5.22098e-09,2.26042e-08,9.10089e-10,6.56328e-13,0.000510507
642,0.000356527,8.38914e-05,1.38868e-06,1.52254e-07,2.40638e-08,9.91526e-08,6.68084e-09,7.85856e-12,0.000442089
643,0.000385191,9.30205e-05,5.52403e-07,9.81315e-08,1.37645e-08,9.88456e-08,5.4523e-09,1.37304e-11,0.00047898
644,0.000209209,5.97409e-05,1.24422e-06,5.76772e-08,6.98747e-09,4.66406e-08,2.33255e-09,8.24673e-13,0.000270308
645,0.000389551,7.20537e-05,1.86818e-06,1.36406e-07,1.9679e-08,2.73548e-07,1.84866e-08,1.75093e-11,0.000463921
646,0.000448896,9.34284e-05,9.07694e-07,5.14825e-08,6.06135e-09,4.4132e-08,2.6814e-09,2.29051e-12,0.000543336
647,0.000576186,9.51952e-05,3.4822e-05,3.72886e-06,7.28111e-07,6.51695e-06,5.58799e-07,1.08441e-09,0.000717737
648,0.000398308,7.95715e-05,3.46455e-06,3.20905e-07,5.04156e-08,1.80092e-07,1.11802e-08,1.66934e-11,0.000481906
649,0.000460358,0.000104981,1.14273e-06,5.82388e-08,6.62015e-09,2.95178e-08,1.36725e-09,1.51498e-12,0.000566577
650,0.000277852,6.93188e-05,6.0017e-07,4.91534e-08,6.50667e-09,4.82681e-08,2.51287e-09,2.0719e-12,0.000347878
651,0.000266066,9.97654e-05,8.17577e-06,7.78519e-07,1.67555e-07,4.7041e-07,3.94506e-08,2.94566e-11,0.000375463
652,0.000383732,8.21351e-05,1.13812e-06,5.70657e-08,8.75344e-09,7.06306e-08,4.75909e-09,9.40496e-13,0.000467147
653,0.000449382,9.99956e-05,2.0133e-06,2.36683e-07,4.69222e-08,3.38435e-07,3.16251e-08,2.81008e-11,0.000552045
654,0.000273976,0.00011578,8.7661e-06,6.7266e-07,7.58042e-08,2.37155e-07,3.23858e-08,2.39475e-11,0.00039954
655,0.000571046,0.000210415,1.99958e-05,2.10892e-05,6.30472e-06,2.3744e-05,2.71604e-06,6.90328e-08,0.00085538
656,0.000219746,4.96992e-05,2.49041e-06,3.76657e-07,9.12319e-08,3.75082e-07,3.79449e-08,6.91802e-11,0.000272817
657,0.000439033,0.000105112,1.05161e-06,4.73984e-08,3.96224e-09,1.64432e-07,3.70578e-09,2.94806e-12,0.000545416
658,0.000397779,0.000115412,2.86076e-07,3.83888e-08,1.31763e-08,1.04192e-07,1.30153e-08,2.5286e-11,0.000513646
659,0.000372488,0.000144089,8.66986e-06,2.63766e-07,5.50207e-07,1.52968e-05,4.36995e-08,2.29202e-10,0.000541402
660,0.000297691,9.59277e-05,4.0155e-06,3.51227e-07,5.13443e-08,2.82722e-07,1.61098e-08,1.4669e-11,0.000398335
661,0.000119551,1.11184e-05,5.54853e-08,1.09162e-08,2.07023e-09,1.01358e-08,7.631e-10,9.2198e-12,0.000130748
662,0.000452513,0.000117616,2.53926e-06,1.8539e-07,2.04957e-08,9.72972e-08,3.91372e-09,3.94405e-12,0.000572975
663,0.000299198,8.87623e-05,3.11622e-06,2.19009e-07,3.70534e-08,2.89905e-07,2.03389e-08,9.38794e-12,0.000391643
664,0.000194074,3.54592e-05,1.79378e-07,1.74161e-08,2.75478e-09,1.52562e-08,9.67831e-10,6.40998e-13,0.000229749
665,0.000144564,2.45782e-05,5.60202e-07,4.76929e-08,6.28613e-09,4.54622e-08,2.27902e-09,1.19824e-12,0.000169804
666,0.000133544,2.53484e-05,2.13445e-06,4.44671e-07,4.53951e-08,3.87927e-07,1.60867e-08,1.15454e-10,0.000161921
667,0.000218827,3.91293e-05,2.75665e-07,1.17538e-08,1.16166e-09,6.74731e-09,2.5594e-10,5.5777e-14,0.000258252
668,0.000555432,0.000250923,2.51114e-05,3.17698e-06,4.77966e-07,1.87406e-06,1.05628e-07,2.33617e-10,0.000837101
669,0.000426437,0.000119769,7.55943e-07,3.68278e-08,3.8917e-09,1.54563e-08,6.72741e-10,2.71253e-13,0.000547019
