time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,26.9923,26.9725,26.9214,26.8394,26.7212,26.3988,25.2246,21.2987,207.369
28,10.8203,10.6341,10.4345,10.4011,10.353,10.0463,9.07387,7.31628,79.0796
29,12.7871,12.5665,12.3299,12.29,12.2326,11.8682,10.7127,8.62113,93.4081
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0.87022,0.869346,0.836789,0.817829,0.773348,0.703497,0.620889,0.493173,5.98509
38,0.432752,0.395773,0.296831,0.220547,0.205261,0.182074,0.157268,0.0639042,1.95441
39,2.53858,2.50062,2.21258,2.0384,1.79199,1.4545,1.16915,0.859923,14.5657
40,1.66573,1.44308,0.877914,0.779319,0.681684,0.540031,0.409696,0.270506,6.66797
41,0.67608,0.665438,0.593323,0.561237,0.48669,0.380278,0.285119,0.214206,3.86237
42,0.690929,0.460741,0.200042,0.143493,0.123362,0.096635,0.0749178,0.0329417,1.82306
43,1.17087,0.871864,0.465588,0.39896,0.354437,0.291745,0.235356,0.140229,3.92905
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0.443862,0.309247,0.0173776,0.0158747,0.0141712,0.0115886,0.00898645,0.00593155,0.827039
47,0,0,0,0,0,0,0,0,0
48,0.31798,0.147208,0.0250293,0.023902,0.0212817,0.0173606,0.0134417,0.00973622,0.57594
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0.568636,0.567849,0.489405,0.450744,0.364479,0.258461,0.18308,0.133711,3.01637
52,0,0,0,0,0,0,0,0,0
53,0.910494,0.884458,0.724381,0.633276,0.524306,0.386115,0.281626,0.185448,4.5301
