time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
67,85.3825,85.2291,55.9785,44.8342,25.4312,10.7972,5.17859,3.45925,316.29
68,84.9883,84.8333,55.5309,44.395,25.0666,10.5614,5.02248,3.33509,313.733
69,82.6283,82.4754,53.7985,42.9678,24.2798,10.3456,5.00488,3.30597,304.806
70,80.6021,80.4509,52.4288,41.8423,23.5792,9.96903,4.77037,3.13286,296.776
71,82.1873,82.0309,53.5618,42.8435,24.3957,10.5948,5.20723,3.40014,304.221
72,72.0049,71.866,45.5758,35.8333,19.3667,7.59297,3.36868,2.18703,257.795
73,74.3617,74.2163,47.4035,37.4408,20.5626,8.38246,3.89367,2.51468,268.776
74,68.8106,68.6742,43.4791,34.1462,18.4019,7.18291,3.17196,2.03624,245.903
75,68.8856,68.7472,43.1397,33.7216,17.9581,6.8874,2.99669,1.91299,244.249
76,65.4409,65.3076,40.7321,31.7606,16.8532,6.49493,2.87157,1.82232,231.283
77,66.5273,66.3901,41.2909,32.147,16.9917,6.49609,2.83467,1.78963,234.467
78,67.289,67.1484,41.5323,32.2172,16.8317,6.28337,2.67581,1.67996,235.658
79,66.9418,66.8001,41.3553,32.1167,16.8741,6.40326,2.78289,1.73751,235.012
80,59.4716,59.3442,35.8503,27.4974,14.0123,5.11897,2.18183,1.35392,204.83
81,61.1593,61.0267,37.2026,28.6402,14.6799,5.33088,2.22314,1.37233,211.635
82,61.5814,61.4462,37.2595,28.6099,14.5742,5.24043,2.16027,1.32627,212.198
83,55.2259,55.1032,33.068,25.2726,12.7584,4.57221,1.89732,1.15846,189.056
84,57.1861,57.0575,34.1724,26.0701,13.0658,4.58666,1.85228,1.12462,195.116
85,51.3535,51.2367,30.389,23.0785,11.4581,3.995,1.61438,0.974885,174.1
86,50.4788,50.3626,30.0223,22.8553,11.4064,3.98054,1.59263,0.956081,171.655
87,52.4197,52.2977,30.4137,22.844,10.9992,3.64263,1.40898,0.841311,174.867
88,47.5685,47.4565,27.5309,20.6765,9.99252,3.35672,1.31585,0.781277,158.679
89,51.9691,51.8454,30.0414,22.5136,10.7643,3.50087,1.31797,0.778293,172.731
90,46.0862,45.9753,26.5408,19.858,9.48057,3.11921,1.20934,0.710408,152.98
91,45.043,44.9333,25.4659,18.87,8.77543,2.75191,1.01115,0.590658,147.441
92,47.2694,47.153,26.8263,19.9295,9.35433,2.99728,1.1278,0.655033,155.313
93,43.2753,43.1677,24.388,18.0523,8.39101,2.63861,0.971423,0.561099,141.445
94,41.6871,41.5822,23.3508,17.2252,7.93279,2.46026,0.895906,0.514553,135.649
95,37.1954,37.1009,20.7347,15.2732,7.04405,2.2411,0.860457,0.491626,120.942
96,38.3635,38.2649,21.2953,15.6416,7.1329,2.1794,0.779921,0.443166,124.101
97,38.4922,38.3924,20.8684,15.1193,6.62672,1.89456,0.646147,0.365129,122.405
98,36.0466,35.9521,19.5647,14.1845,6.23119,1.78561,0.605939,0.340545,114.711
