time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
457,0.001357,6.70765e-05,5.03319e-13,1.53828e-13,3.6879e-14,6.05106e-15,5.91559e-16,1.53855e-17,0.00142408
458,0.00208335,2.67852e-05,0.00287658,0.00111787,0.000487647,0.00016857,2.95543e-05,6.97262e-07,0.00679105
459,0.00141362,0.000123241,5.58305e-09,1.92201e-09,5.10932e-10,7.73746e-11,6.56833e-12,1.79505e-13,0.00153687
460,1.47644e-06,8.90624e-09,1.62043e-17,3.52455e-18,2.69804e-19,4.06659e-21,6.02158e-23,1.58823e-24,1.48535e-06
461,0.00103777,0.000546887,0.000146469,5.82531e-05,5.37228e-06,1.04916e-07,1.50536e-09,1.0779e-10,0.00179486
462,0.00680514,0.00433598,0.000815293,0.000347793,7.13799e-05,4.00795e-06,6.31168e-08,9.30411e-10,0.0123797
463,3.62217e-06,3.61774e-07,1.98956e-11,5.69106e-12,6.31108e-13,3.87864e-15,5.21178e-16,1.50048e-17,3.98397e-06
464,0.0270038,0.00296859,2.33912e-06,1.71994e-06,9.84281e-07,5.13586e-07,1.04528e-07,8.12483e-09,0.029978
465,4.39767e-06,1.77517e-08,5.10334e-36,1.06929e-36,2.37539e-37,2.36998e-38,1.7987e-39,1.96331e-41,4.41542e-06
466,0.00703807,0.00194467,6.76574e-08,2.55594e-08,1.00885e-08,3.59456e-09,5.42057e-10,1.35016e-11,0.00898285
467,2.76962e-05,2.79244e-06,1.26327e-13,2.55891e-14,1.66113e-15,8.34318e-18,5.65571e-20,1.51768e-21,3.04887e-05
468,0.126313,0.101746,0.0483356,0.0240725,0.0147812,0.0107835,0.00270795,6.50107e-05,0.328805
469,0.143357,0.0548792,1.05352e-05,7.8874e-06,5.66744e-06,4.41997e-06,1.18148e-06,7.58177e-08,0.198266
470,0,0,0,0,0,0,0,0,0
471,1.10179e-06,3.61479e-05,4.0886e-06,2.11593e-06,4.60817e-07,3.64702e-08,1.68111e-09,1.21929e-10,4.39533e-05
472,0,0,0,0,0,0,0,0,0
473,2.99873e-06,2.13445e-08,6.75137e-17,1.11339e-17,1.30633e-18,5.08643e-20,1.65277e-21,1.69907e-23,3.02008e-06
