run_index,seed,rt60,c50,runtime_ms,t30_raw,t20,curvature,nonlinearity
0,1,0.34065,7.46402,7252.2,0.34065,0.324234,5.06297,2.56108
1,2,0.346111,6.87728,7182.23,0.346111,0.316927,9.20836,4.92056
2,3,0.33257,7.34372,7144.34,0.33257,0.319315,4.15094,2.11319
3,4,0.340424,7.2713,7125.05,0.340424,0.348532,-2.32621,1.07435
4,5,0.329746,6.86222,7128.32,0.329746,0.328754,0.301649,0.779526
5,6,0.338535,7.38905,7122.63,0.338535,0.340894,-0.692062,1.04601
6,7,0.326671,7.40698,7122.57,0.326671,0.32619,0.1475,0.997857
7,8,0.338658,7.04216,7180.62,0.338658,0.325864,3.92631,1.57664
8,9,0.342226,6.73419,7140.37,0.342226,0.328254,4.25653,1.38995
9,10,0.33638,7.23202,7139.65,0.33638,0.331367,1.5129,1.81962
10,11,0.333769,7.07405,7266.72,0.333769,0.322483,3.49958,1.51724
11,12,0.324889,6.9389,7187.41,0.324889,0.330427,-1.67622,2.27936
12,13,0.341988,7.46443,7143.22,0.341988,0.337449,1.34504,1.85294
13,14,0.383743,7.36016,7158.6,0.383743,0.343368,11.7585,12.0284
14,15,0.328872,6.9407,7251.56,0.328872,0.332731,-1.15986,0.64769
15,16,0.339779,7.06938,7231.05,0.339779,0.312821,8.61744,3.90181
16,17,0.349051,7.16129,7249.69,0.349051,0.33198,5.14225,1.80799
17,18,0.333807,7.5923,7247.79,0.333807,0.330125,1.1152,1.00202
18,19,0.357975,6.75995,7242.15,0.357975,0.334378,7.05701,5.67384
19,20,0.344669,6.96784,7259.96,0.344669,0.327706,5.17646,2.13991
20,21,0.333083,7.05146,7255.44,0.333083,0.325009,2.48448,1.08958
21,22,0.335321,7.30489,7251.41,0.335321,0.319183,5.056,3.20049
22,23,0.340463,7.24522,7243.31,0.340463,0.329844,3.21938,2.20682
23,24,0.337887,6.97333,7241.08,0.337887,0.319181,5.86051,3.07674
24,25,0.328266,6.74838,7263.11,0.328266,0.340999,-3.73387,1.39151
25,26,0.331518,7.13447,7260.66,0.331518,0.327418,1.25209,1.18382
26,27,0.346972,7.01001,7262.86,0.346972,0.323968,7.10083,2.74355
27,28,0.345882,7.08307,7255.24,0.345882,0.326969,5.78437,2.88889
28,29,0.3234,7.09228,7256.46,0.3234,0.325944,-0.780336,0.620909
29,30,0.358023,7.19607,7251.75,0.358023,0.333057,7.49622,3.41326
30,31,0.337963,7.29575,7269.72,0.337963,0.330495,2.25939,0.759003
31,32,0.344027,6.98891,7256.31,0.344027,0.337301,1.99425,1.79159
32,33,0.336748,7.10226,7258.27,0.336748,0.310225,8.54948,5.71943
33,34,0.340137,7.27928,7258.87,0.340137,0.333111,2.10919,1.65657
34,35,0.350317,6.84383,7266.58,0.350317,0.328012,6.79995,3.43142
35,36,0.326769,6.73791,7256.26,0.326769,0.329133,-0.718197,3.04297
36,37,0.330672,7.04249,7264.13,0.330672,0.346215,-4.4893,1.61149
37,38,0.33645,6.99627,7270.15,0.33645,0.334603,0.551979,0.921609
38,39,0.339924,7.68606,7274.57,0.339924,0.325373,4.47224,1.76722
39,40,0.342777,6.98393,7262,0.342777,0.335373,2.20775,1.58603
40,41,0.333246,6.79958,7262.35,0.333246,0.324374,2.735,0.774816
41,42,0.338273,7.36825,7265.65,0.338273,0.336848,0.423042,1.32597
42,43,0.316941,6.56188,7262.94,0.316941,0.317553,-0.19278,2.17611
43,44,0.352558,7.17054,7271.07,0.352558,0.347306,1.51204,2.29142
44,45,0.32776,7.04094,7265.08,0.32776,0.326798,0.294385,0.822283
45,46,0.334116,7.22043,7269.36,0.334116,0.329702,1.3387,0.855933
46,47,0.329241,7.54494,7264.08,0.329241,0.324006,1.61565,0.705159
47,48,0.327568,7.13466,7265.61,0.327568,0.327979,-0.125298,1.51919
48,49,0.424093,7.02104,7270.28,0.424093,0.330836,28.1882,29.6133
49,50,0.358783,7.18861,7264.39,0.358783,0.32483,10.4527,4.39137
50,51,0.318766,7.06383,7256.49,0.318766,0.320038,-0.397309,0.722096
51,52,0.335393,6.83309,7259.78,0.335393,0.312254,7.41014,2.9429
52,53,0.338648,7.10821,7258.25,0.338648,0.336559,0.62081,0.911877
53,54,0.320235,6.81617,7262.33,0.320235,0.314533,1.81268,0.889236
54,55,0.338106,6.79117,7263.23,0.338106,0.315708,7.09482,2.69783
55,56,0.330315,7.1135,7260.95,0.330315,0.344994,-4.25482,1.87404
56,57,0.35159,6.64671,7261.71,0.35159,0.32933,6.75925,3.16694
57,58,0.338215,7.02875,7245.76,0.338215,0.335736,0.738398,2.03207
58,59,0.342989,7.11427,7237.26,0.342989,0.336344,1.9756,3.74289
59,60,0.341108,7.1883,7255.59,0.341108,0.3356,1.64111,1.00142
60,61,0.33593,6.7898,7249.06,0.33593,0.34379,-2.28631,2.63985
61,62,0.324513,6.80051,7247.38,0.324513,0.323072,0.446138,0.978213
62,63,0.323476,7.02227,7253.06,0.323476,0.32579,-0.710336,1.31437
63,64,0.344748,6.8537,7263.08,0.344748,0.326418,5.6153,1.99384
64,65,0.332825,7.02358,7247.16,0.332825,0.335801,-0.886353,1.15394
65,66,0.336854,6.95107,7246.05,0.336854,0.340536,-1.08118,0.780195
66,67,0.338999,7.11098,7256.5,0.338999,0.331405,2.29138,1.21506
67,68,0.340327,6.89897,7258.18,0.340327,0.324462,4.88986,2.55721
68,69,0.333337,7.20827,7244.41,0.333337,0.326548,2.07908,1.00682
69,70,0.346358,7.03622,7249.98,0.346358,0.323414,7.09428,2.58534
70,71,0.340671,7.10708,7230.91,0.340671,0.3364,1.26967,1.30715
71,72,0.33973,7.39473,7229.7,0.33973,0.332385,2.2096,0.622758
72,73,0.32909,6.95155,7225.78,0.32909,0.326357,0.83718,2.03377
73,74,0.345483,7.11862,7211.52,0.345483,0.337174,2.46443,2.15108
74,75,0.341335,6.85216,7222.64,0.341335,0.326871,4.42477,1.86317
75,76,0.344119,7.14953,7209.78,0.344119,0.335766,2.48781,1.44722
76,77,0.337159,7.32725,7195.91,0.337159,0.325296,3.64697,1.28385
77,78,0.339197,7.28345,7200.08,0.339197,0.344277,-1.47538,0.885658
78,79,0.328564,7.12666,7200.75,0.328564,0.338774,-3.01399,2.24459
79,80,0.321215,7.08315,7186.6,0.321215,0.326603,-1.64969,0.979452
80,81,0.317016,6.49358,7175.16,0.317016,0.323426,-1.98199,0.800871
