run_index,seed,rt60,c50,runtime_ms,t30_raw,t20,curvature,nonlinearity
83,84,0.337247,7.09226,3571.74,0.337247,0.327647,2.92988,1.95762
84,85,0.335709,7.53858,3571.04,0.335709,0.335045,0.198344,1.55062
85,86,0.318478,6.99225,3560.16,0.318478,0.321219,-0.853416,0.745838
86,87,0.318914,6.65937,3546.27,0.318914,0.343879,-7.25965,3.5295
87,88,0.329734,7.32513,3528.56,0.329734,0.332342,-0.784544,2.05739
88,89,0.317455,7.17646,3523.97,0.317455,0.325356,-2.4283,2.08027
89,90,0.325756,7.64943,3530.18,0.325756,0.324167,0.490297,0.938357
90,91,0.326109,7.18626,3532.91,0.326109,0.316532,3.02547,1.44047
91,92,0.330633,6.76238,3528.2,0.330633,0.308994,7.00294,5.18707
92,93,0.361424,6.34393,3528.49,0.361424,0.32255,12.0521,14.2306
93,94,0.329391,7.54703,3532.33,0.329391,0.326629,0.845711,1.8821
94,95,0.367935,7.54517,3530.22,0.367935,0.338105,8.82285,6.32283
95,96,0.35024,6.72813,3525.29,0.35024,0.352125,-0.53536,2.78587
96,97,0.344899,6.86508,3521.6,0.344899,0.337959,2.05367,1.55773
97,98,0.332102,7.57331,3527.5,0.332102,0.325763,1.94613,2.29932
98,99,0.331831,7.4868,3523.44,0.331831,0.317219,4.6062,2.74345
99,100,0.303303,7.08891,3528.24,0.303303,0.313492,-3.25012,1.38278
