input_seconds,rir_seconds,median_ms,ms_per_second_audio,rtf
10,0.25,5.4317295,0.54317295,1841.034241
10,0.5,5.9701455,0.59701455,1675.001053
10,1,7.595021,0.7595021,1316.652054
10,2,8.0910625,0.80910625,1235.931622
