label,num_particles,dt_ms,rt60_mean,rt60_std,c50_mean,c50_std,runtime_ms_mean,runtime_ms_std,valid_rt60_runs
s000,200000,20,0.533491,0.0285237,7.42643,0.32008,6525.6,64.7548,10
scene,200000,20,0.334201,0.00899615,6.99335,0.319596,6810.58,44.9503,10
s050,200000,20,0.324429,0.00571703,6.74,0.19709,7339.91,26.1319,10
s100,200000,20,0.336951,0.00375916,6.04121,0.281006,7744.03,23.412,10
