run_index,seed,rt60,c50,runtime_ms
0,1,0.3342849763,6.80857114,2166.83675
1,2,0.3422829631,6.936755471,2163.376708
2,3,0.3388794773,7.185603696,2164.393167
3,4,0.3304987216,6.954528464,2165.538083
4,5,0.3410774105,7.072755463,2159.297792
5,6,0.3411351209,6.897778139,2161.979834
6,7,0.3354107538,6.995278192,2167.210792
7,8,0.3378925975,7.185119685,2162.561542
8,9,0.3321837419,6.99418709,2172.096917
9,10,0.3278824086,7.036023778,2166.055042
