label,num_particles,dt_ms,rt60_mean,rt60_std,c50_mean,c50_std,runtime_ms_mean,runtime_ms_std,valid_rt60_runs
optimised,200000,20,0.3342014633,0.008996153998,6.993352837,0.3195961895,418.0927752,7.404522104,10
reference,1000000,1,0.3340272481,0.003377254486,7.061058362,0.1589426122,6592.268413,50.16103551,10
