run_index,seed,rt60,c50,runtime_ms
0,1,0.355825,6.70085,14506.6
1,2,0.324578,6.50707,14480.3
2,3,0.329799,6.89289,14485.3
3,4,0.338695,7.33008,14505
4,5,0.332528,6.94059,14506.1
5,6,0.341289,7.1312,14555.7
6,7,0.353859,7.10124,14501.7
7,8,0.361084,7.40233,14533.5
8,9,0.337988,7.30738,14532.4
9,10,0.338744,7.58831,14513.3
10,11,0.32665,6.97491,14537.8
11,12,0.350965,7.6934,14492.6
