run_index,seed,rt60,c50
0,11,0.303922,11.4873
1,12,0.644972,13.7203
2,13,0.290841,7.30468
3,14,0.374268,5.84979
4,15,0.403165,5.78185
5,16,0.360764,5.81751
6,17,0.228712,3.89581
7,18,0.22929,4.32322
8,19,0.394731,9.93618
9,20,0.252836,5.10687
