run_index,seed,rt60,c50,runtime_ms
0,1,0.331621,7.09696,139444
1,2,0.335114,7.26173,139351
2,3,0.335803,7.14054,141011
3,4,0.339092,7.20815,143148
4,5,0.33225,6.90694,143642
5,6,0.337292,6.95442,143252
6,7,0.32687,6.88772,143815
7,8,0.335175,7.12232,143488
8,9,0.33358,6.80993,143725
9,10,0.333476,7.22187,143936
