run_index,seed,rt60,c50,runtime_ms
0,1,0.341745,7.6446,3285.09
1,2,0.328512,6.86315,3293.74
2,3,0.364409,7.4241,3294.77
3,4,0.32268,7.66642,3307.35
4,5,0.332951,7.51892,3300.89
5,6,0.345279,6.99238,3312.82
6,7,0.337861,7.26068,3319.72
7,8,0.345809,7.16374,3315.92
8,9,0.333226,7.06187,3318.14
9,10,0.325638,7.37673,3320.05
