run_index,seed,rt60,c50,runtime_ms
0,1,0.339855,7.30431,6613.31
1,2,0.327982,6.95413,6640.4
2,3,0.352422,7.01478,6635.58
3,4,0.339969,7.57184,6653.81
4,5,0.329238,7.1686,6661.55
