run_index,seed,rt60,c50,runtime_ms
0,1,0.339855,7.30431,6704.81
1,2,0.327982,6.95413,6714.94
2,3,0.352422,7.01478,6742.22
3,4,0.339969,7.57184,6718.81
4,5,0.329238,7.1686,6772.93
5,6,0.334426,6.5731,6784.53
6,7,0.332584,6.93692,6749.7
7,8,0.321004,6.46968,6762.63
8,9,0.325804,6.97769,6735.24
9,10,0.33873,6.96249,6725.66
10,11,0.330497,6.87196,6728.59
11,12,0.331614,6.76525,6753.94
12,13,0.328055,6.54285,6742
13,14,0.348188,7.98625,6743.54
