run_index,seed,rt60,c50,runtime_ms
0,1,0.3367966041,6.910617029,2736.229375
1,2,0.331570697,7.195300466,2745.701209
2,3,0.3367036858,6.970333598,2733.803167
3,4,0.3372498302,7.04222369,2744.211334
4,5,0.3353915189,6.86501191,2733.299083
5,6,0.3407610344,7.121376207,2736.415917
6,7,0.3403635534,7.235971193,2744.84725
7,8,0.341795938,7.021783494,2735.426041
8,9,0.3363386951,6.900759877,2742.333208
9,10,0.3409189415,6.99107791,2734.912875
