run_index,seed,rt60,c50,runtime_ms
0,1,0.339855,7.30431,6762.7
1,2,0.327982,6.95413,6756.05
2,3,0.352422,7.01478,6763.88
3,4,0.339969,7.57184,6765.7
4,5,0.329238,7.1686,6761.78
5,6,0.334426,6.5731,6752.79
6,7,0.332584,6.93692,6769.73
7,8,0.321004,6.46968,6772.57
8,9,0.325804,6.97769,6756.55
9,10,0.33873,6.96249,6738.09
10,11,0.330497,6.87196,6732.7
11,12,0.331614,6.76525,6746.61
12,13,0.328055,6.54285,6763.95
13,14,0.348188,7.98625,6766.47
14,15,0.326708,7.03969,6751.21
15,16,0.329546,7.10605,6757.38
16,17,0.368658,7.16804,6754.5
17,18,0.335665,6.95746,6771.5
18,19,0.33362,6.6884,6766.62
19,20,0.340062,7.39177,6744.22
