run_index,seed,rt60,c50,runtime_ms
0,1,0.339855,7.30431,6728.5
1,2,0.327982,6.95413,6738.52
2,3,0.352422,7.01478,6714.44
3,4,0.339969,7.57184,6726.33
4,5,0.329238,7.1686,6714.34
5,6,0.334426,6.5731,6731.08
6,7,0.332584,6.93692,6712.07
7,8,0.321004,6.46968,6711.98
8,9,0.325804,6.97769,6709.22
9,10,0.33873,6.96249,6707.86
10,11,0.330497,6.87196,6712.67
