run_index,seed,rt60,c50,runtime_ms
0,1,0.339855,7.30431,6752.78
1,2,0.327982,6.95413,6756.56
2,3,0.352422,7.01478,6758.11
3,4,0.339969,7.57184,6761.97
4,5,0.329238,7.1686,6759.29
5,6,0.334426,6.5731,6765.41
6,7,0.332584,6.93692,6765.08
7,8,0.321004,6.46968,6760.94
8,9,0.325804,6.97769,6764.4
